DAYS,AAPL,SPX,VIX,SPGSCITR,BNDGLB,EEM,RETURN
129,1.5007,1000.3,17.82,4186.3,220.65,14.77,0.033967204
130,1.5486,1003.27,17.84,4264.33,220.59,15.0411,0.031918438
131,1.4914,993.06,18.55,4273.77,219.81,15.1178,-0.036936588
134,1.49,993.71,19.53,4231.75,219.93,15,-0.000938715
135,1.5036,996.73,19.49,4244.63,219.67,14.8167,0.009127517
136,1.5343,996.79,19.13,4181.75,219.84,14.9889,0.020417664
137,1.585,1002.84,18.48,4205.73,219.49,15.0933,0.033044385
138,1.615,1008.01,18.63,4214.54,220.42,15.2022,0.018927445
142,1.6321,1021.99,19.02,4036.23,220.73,15.4278,0.010588235
143,1.6393,1026.27,19.44,4053.61,219.01,15.55,0.004411494
144,1.6307,1027.97,18.71,4035.96,218.95,15.6056,-0.005246142
145,1.6071,1021.39,18.17,4026.32,219.86,15.5911,-0.014472313
148,1.6243,1031.64,18.26,4021.44,221.7,15.8867,0.010702508
149,1.5979,1023.17,18.85,4049.25,221.79,15.6111,-0.016253155
150,1.5843,1010.92,20.01,4081.73,222.04,15.3511,-0.008511171
151,1.6114,1016.42,19.25,4028.92,222.87,15.3333,0.017105346
152,1.65,1018.63,18.68,3983.81,222.43,15.4422,0.023954325
155,1.5864,1014.81,19.28,3971.6,223.29,15.2144,-0.038545455
156,1.5971,1029.32,18.03,3915.56,223.29,15.5278,0.006744831
157,1.58,1025.97,18.15,3870.38,223.22,15.4611,-0.010706906
158,1.6343,1039.58,17.57,3853.54,224.18,15.6389,0.034367089
159,1.6129,1036.3,17.54,3844.4,224.58,15.5667,-0.013094291
162,1.5771,1022.82,19.65,3865.3,225.26,15.3122,-0.022196044
163,1.6021,1029.03,19.47,3862.94,225.84,15.35,0.01585188
164,1.5229,1009.38,21.22,3963.06,226.14,15.3778,-0.049435116
165,1.4593,1003.27,22.26,3965.22,226.59,15.15,-0.041762427
166,1.4779,996.85,22.23,3940.94,226.96,15.0444,0.012745837
169,1.5214,1006.58,21.67,3986.65,227.36,15.1511,0.029433656
170,1.48,995.97,22.72,4042.42,227.34,15.1033,-0.027211779
171,1.485,1018.22,21.07,4053.64,228.66,15.5,0.003378378
172,1.4693,1020.24,20.8,4089.68,229.08,15.7222,-0.010572391
173,1.5493,1029.85,19.5,4130.94,228.33,15.8778,0.054447696
176,1.5921,1034.35,19.51,4141.63,226.66,15.9389,0.027625379
177,1.6586,1039.25,19.41,4169.63,227.2,15.9222,0.041768733
178,1.6471,1033.78,19.18,4142.1,227.11,16.0411,-0.006933558
179,1.675,1038.73,18.82,4278.38,227.38,16.3111,0.016938862
180,1.6914,1038.06,18.45,4373.25,226.89,16.5111,0.009791045
183,1.7393,1045.35,17.55,4378.77,227.58,16.7611,0.028319735
184,1.7536,1049.48,17.37,4353.08,227.07,16.4411,0.008221698
185,1.7729,1046.76,17.69,4348.7,226.35,16.64,0.011005931
186,1.6607,1050.07,17.19,4320.7,225.81,16.6356,-0.063286141
187,1.625,1039.32,17.62,4214.67,225.81,16.5344,-0.021496959
190,1.6586,1044.68,17.04,4173.49,225.94,16.6267,0.020676923
191,1.6557,1046.03,16.55,4178.9,225.95,16.71,-0.001748463
192,1.6257,1030.36,17.67,4164.94,226.31,16.4644,-0.018119224
193,1.6421,1033.77,17.68,4212.85,227.39,16.2222,0.010087962
194,1.6143,1028.91,17.71,4200.2,227.08,16.1367,-0.016929541
197,1.6143,1031.13,18.05,4166.01,228.02,16.3222,0
198,1.6943,1046.79,16.82,4149.57,227.73,16.5456,0.049557084
199,1.6921,1048.11,16.43,4130.25,228.11,16.6833,-0.001298471
200,1.6493,1046.94,16.33,4066.89,227.65,16.6233,-0.025294013
201,1.635,1050.71,16.1,4130.98,227.05,16.49,-0.008670345
204,1.6536,1059.02,16.55,4081.73,227.01,16.8833,0.011376147
205,1.6364,1053.25,16.55,4070.3,225.79,16.93,-0.010401548
206,1.645,1051.81,16.86,4217.43,226.65,16.9522,0.005255439
207,1.6514,1058.05,16.74,4181.5,226.05,16.8311,0.003890578
208,1.6071,1053.21,16.93,4235.89,225.29,16.8489,-0.026825724
211,1.5643,1047.11,17.62,4238.73,225.2,16.6167,-0.026631821
212,1.5386,1046.57,17.54,4278.95,225.2,16.4033,-0.016429074
213,1.595,1058.56,16.75,4283.44,225.63,16.6956,0.036656701
214,1.6014,1058.41,16.47,4329.23,226.5,16.8244,0.004012539
215,1.5329,1050.35,16.94,4392.29,227.85,16.7389,-0.042775072
218,1.5093,1043.63,18.6,4309.39,228.94,16.4122,-0.015395655
219,1.4579,1034.15,19.11,4415.05,229.34,16.4444,-0.034055522
220,1.4586,1042.44,18.8,4335.47,229.83,16.3378,0.000480143
221,1.4554,1033.65,19.48,4307.7,229.11,16.1267,-0.002193885
222,1.4486,1035.28,18.98,4296.96,229.62,16.2667,-0.004672255
225,1.5107,1052.08,17.44,4159.09,229.84,16.4433,0.042868977
226,1.4771,1053.89,16.71,4169.84,228.75,16.5,-0.022241345
227,1.48,1058.45,16.23,4216.43,228.95,16.6511,0.001963306
229,1.4936,1058.2,16.32,4236.69,229.08,16.8,0.009189189
233,1.5386,1066.62,16.27,4353.05,228.07,17.2044,0.030128548
234,1.5021,1064.73,16.63,4395.41,228.52,17.1444,-0.023722865
235,1.5107,1069.72,16.3,4448.71,228.66,17.0267,0.005725318
236,1.4893,1061.5,17.09,4387.97,228.91,16.9944,-0.014165619
239,1.5036,1069.3,16.54,4559.77,230.69,17.0278,0.009601826
240,1.4607,1060.18,17.63,4513.31,230.75,16.9567,-0.028531524
241,1.4557,1059.05,17.87,4508.75,230.01,16.8889,-0.003423016
242,1.515,1071.21,16.73,4488.13,230.37,17.1967,0.040736415
243,1.4921,1074.14,16.41,4624.69,230.66,17.2756,-0.015115512
246,1.4407,1068.04,17.23,4625.02,231.28,17.2889,-0.034448093
247,1.4371,1075.13,15.93,4589.79,231.13,17.2167,-0.002498785
248,1.42,1076.48,15.58,4652.27,231.74,17.0167,-0.011898963
249,1.4314,1089.18,16.16,4692.34,232.34,17.2911,0.008028169
250,1.4071,1088.67,16.42,4633.47,232.53,17.3333,-0.016976387
253,1.4179,1092.94,16.94,4474.69,232.55,17.5,0.007675361
254,1.415,1096.02,16.49,4460.11,232.37,17.5478,-0.002045278
255,1.4579,1094.04,16.66,4510.05,232,17.6044,0.030318021
257,1.4843,1095.89,17.45,4516.21,232.78,17.6489,0.018108238
260,1.5107,1109.48,17.09,4481.49,233.16,17.9156,0.017786162
261,1.52,1109.64,17.68,4543.62,232.8,18.0011,0.006156087
262,1.5264,1111.92,18.31,4501.27,232.67,18.2144,0.004210526
264,1.52,1108.48,18.22,4520.7,233.02,18.62,-0.004192872
267,1.5836,1122.22,17.49,4697.17,232.21,19.2733,0.041842105
269,1.6136,1126.33,15.5,4673.37,233.77,19.1,0.018944178
270,1.6686,1131.92,15.61,4732.33,233.91,19.1722,0.034085275
271,1.6429,1121.86,16.75,4786.45,234.04,19.1378,-0.015402134
274,1.695,1127.23,16.82,4784.62,235.76,19.1211,0.031712216
275,1.7229,1121.22,18.04,4702.45,235.71,19.0122,0.016460177
276,1.7286,1130.52,16.75,4690.52,236.15,19.0422,0.003308375
277,1.6321,1132.05,15.56,4532.78,236.16,18.6533,-0.055825524
278,1.6229,1139.83,15,4663.71,236.1,18.7333,-0.00563691
283,1.615,1147.62,14.34,4748.74,235.23,19.3033,-0.004867829
284,1.5843,1143.94,14.71,4735.18,235.67,19.2544,-0.019009288
285,1.6114,1141.55,14.84,4734.69,235.66,19.2222,0.017105346
288,1.6436,1155.37,14.55,4654.7,235.89,19.35,0.019982624
289,1.6479,1144.05,15.35,4625.3,234.96,19.2522,0.002616208
290,1.6086,1128.48,16.78,4582.72,235.69,18.98,-0.023848534
291,1.62,1134.11,17.14,4511.56,234.68,18.6811,0.007086908
292,1.6114,1131.13,16.63,4518.91,233.89,18.6556,-0.005308642
295,1.5943,1135.26,17.11,4631.38,233.89,18.66,-0.01061189
296,1.59,1136.03,17.34,4583.89,234.66,18.5556,-0.002697108
297,1.5564,1126.52,17.87,4509.78,235.4,18.3889,-0.021132075
298,1.6014,1128.59,17.71,4509.67,235.22,18.3833,0.028912876
299,1.6221,1142.76,16,4461.23,235.1,18.8022,0.01292619
302,1.6191,1139.81,16.39,4493.52,236.14,19.0733,-0.001849454
303,1.6414,1145.54,15.94,4562.89,236.34,19.0567,0.013773084
304,1.7,1157.76,15.39,4577.1,236.13,19.3522,0.035701231
305,1.695,1152.11,15.31,4603.75,236.85,19.3422,-0.002941176
306,1.6429,1145.81,15.58,4657.85,237.11,19.3556,-0.030737463
310,1.6543,1156.99,15.4,4698.23,237.37,19.7444,0.006938949
311,1.6614,1151.82,15.59,4673,237.44,19.4756,0.004291845
312,1.605,1147.06,15.8,4681.9,237.39,19.3056,-0.033947273
313,1.6,1144.11,16.04,4636.61,237.43,19.0889,-0.003115265
316,1.585,1140.99,16.29,4654.13,236.34,18.9222,-0.009375
317,1.5971,1139.09,15.9,4685.73,236.17,18.8222,0.007634069
318,1.6293,1143.67,14.93,4778.29,236.75,19.0278,0.020161543
319,1.6457,1144.91,14.83,4802.51,236.49,19.1222,0.010065672
320,1.7086,1144.94,14.55,4854.23,235.72,19.3933,0.038220818
323,1.7157,1155.96,14.44,4929.98,236.38,19.8356,0.004155449
